bigram,score
postal employe,-13.128288578066622
chief supervisor,-13.120249078475268
billion presid,-13.1163265985115
commerci valu,-13.115628623578306
colleagu repres,-13.1055995363259
veteran tax,-13.0976406318608
necessari life,-13.087281278818043
cancer screen,-13.080453763082051
prevent public,-13.0633225684855
crime misdemeanor,-13.048059523927
synthet fuel,-13.04517703480898
outsid counsel,-13.0062431449852
get gun,-12.9990359680871
communiti school,-12.99460670170145
import oil,-12.9880841562326
million peopl,-12.984114964168173
phase redeploy,-12.9835489370091
earner receiv,-12.967203586904
extend insert,-12.94289525606
confer budget,-12.9232818928626
honor discharg,-12.919212346435264
coeur dalen,-12.916578586611763
puerto rico,-12.91355079338316
privat account,-12.911679803644583
